o_lat,o_lon,d_lat,d_lon,dest_name,cat,distance_m,duration_s,static_duration_s,status_code,condition,duration_min,static_duration_min,origin_name
19.287,-99.655,19.2671262,-99.6922087,Escuela Primaria Carlos Ma Salcedo 15epr0671m Turno Matutino,school,7442,1145.0,1145.0,0,ROUTE_EXISTS,19.083333333333332,19.083333333333332,O1_Conjunto
19.287,-99.655,19.2786686,-99.6173166,Clases De Box,school,5120,680.0,680.0,0,ROUTE_EXISTS,11.333333333333334,11.333333333333334,O1_Conjunto
19.287,-99.655,19.3128545,-99.6239639,Centro De Educacion Para Adultos Ceba Impulso Social,school,6891,1116.0,1116.0,0,ROUTE_EXISTS,18.6,18.6,O1_Conjunto
19.287,-99.655,19.2770761,-99.611979,Escuela Primaria Profesor Rafael Ramirez,school,6449,840.0,840.0,0,ROUTE_EXISTS,14.0,14.0,O1_Conjunto
19.287,-99.655,19.3248067,-99.6780029,Escuela Primaria Miguel Hidalgo Y Costilla,school,8182,1270.0,1270.0,0,ROUTE_EXISTS,21.166666666666668,21.166666666666668,O1_Conjunto
19.287,-99.655,19.2806592,-99.6170309,Escuela Secundaria Oficial No0011,school,4871,631.0,631.0,0,ROUTE_EXISTS,10.516666666666667,10.516666666666667,O1_Conjunto
19.287,-99.655,19.2612778,-99.6263186,Cursos De Personalidad Academia Starlet,school,5707,921.0,921.0,0,ROUTE_EXISTS,15.35,15.35,O1_Conjunto
19.287,-99.655,19.263746,-99.6265177,Kundal Yoga & Quiropractica,school,5353,840.0,840.0,0,ROUTE_EXISTS,14.0,14.0,O1_Conjunto
19.287,-99.655,19.2866505,-99.6966952,Escuela Secundaria Jose Vasconcelos 15dtv0277k,school,5076,998.0,998.0,0,ROUTE_EXISTS,16.633333333333333,16.633333333333333,O1_Conjunto
19.287,-99.655,19.3059499,-99.6230026,Gimnasio De Tae Kwon Do,school,5814,958.0,958.0,0,ROUTE_EXISTS,15.966666666666667,15.966666666666667,O1_Conjunto
19.287,-99.655,19.3213712,-99.6787848,Escuela secundaria Adolfo López Mateos,school,8203,1337.0,1337.0,0,ROUTE_EXISTS,22.283333333333335,22.283333333333335,O1_Conjunto
19.287,-99.655,19.2917019,-99.6935549,colegio Preston,school,5098,943.0,943.0,0,ROUTE_EXISTS,15.716666666666667,15.716666666666667,O1_Conjunto
19.287,-99.655,19.2468129,-99.6768528,Telebachillerato Comunitario 478 Capultitlan,school,6803,1217.0,1217.0,0,ROUTE_EXISTS,20.283333333333335,20.283333333333335,O1_Conjunto
19.287,-99.655,19.2495291,-99.6595166,Primaria Mariano Abasolo,school,5736,1119.0,1119.0,0,ROUTE_EXISTS,18.65,18.65,O1_Conjunto
19.287,-99.655,19.3123386,-99.6296787,Escuela Primaria Nezahualcoyotl Turno Vespertino,school,6943,1018.0,1018.0,0,ROUTE_EXISTS,16.966666666666665,16.966666666666665,O1_Conjunto
19.287,-99.655,19.2566244,-99.6629022,Escuela De Futbol Real Madrid,school,4583,833.0,833.0,0,ROUTE_EXISTS,13.883333333333333,13.883333333333333,O1_Conjunto
19.287,-99.655,19.255143,-99.6502505,Escuela Primaria Oficial Profesor Agripin García Estrada,school,4571,1001.0,1001.0,0,ROUTE_EXISTS,16.683333333333334,16.683333333333334,O1_Conjunto
