origin_index,origin_name,o_lat,o_lon,dest_name,d_lat,d_lon,cat,cat_key,cat_val,km_straight
0,O1_Conjunto,19.287,-99.655,Distribuidora De Medicamentos Equilibrio Farmacéutico,19.2569241,-99.69589619999999,pharma,amenity,pharmacy,5.441586792899948
0,O1_Conjunto,19.287,-99.655,Farmacia Guadalajara,19.2756468,-99.6039311,pharma,amenity,pharmacy,5.506739411631372
0,O1_Conjunto,19.287,-99.655,pharma (OSM),19.2806719,-99.6025601,pharma,amenity,pharmacy,5.5486921744903
0,O1_Conjunto,19.287,-99.655,Farmacias Similares,19.2979064,-99.71025,pharma,amenity,pharmacy,5.923989028488687
0,O1_Conjunto,19.287,-99.655,Farmacia 75,19.2605559,-99.7107706,pharma,amenity,pharmacy,6.550846714728153
0,O1_Conjunto,19.287,-99.655,Farmacias Similares,19.3077268,-99.5965176,pharma,amenity,pharmacy,6.55604060720963
0,O1_Conjunto,19.287,-99.655,La Botica Moderna,19.2518348,-99.6042302,pharma,amenity,pharmacy,6.609739328118295
0,O1_Conjunto,19.287,-99.655,Redfields De Mexico,19.2500905,-99.7089231,pharma,amenity,pharmacy,6.991473688693313
0,O1_Conjunto,19.287,-99.655,Farmacia Tollocan,19.2876021,-99.5844665,pharma,amenity,pharmacy,7.403077100407667
0,O1_Conjunto,19.287,-99.655,Farmacia Santa Cruz 1,19.3543213,-99.657124,pharma,amenity,pharmacy,7.4891041742023505
0,O1_Conjunto,19.287,-99.655,Phicsa,19.3051031,-99.5856767,pharma,amenity,pharmacy,7.548713052517685
0,O1_Conjunto,19.287,-99.655,Farmacias Similares,19.3569797,-99.6572178,pharma,amenity,pharmacy,7.784866769019257
0,O1_Conjunto,19.287,-99.655,Venta De Medicamento,19.2957979,-99.5795591,pharma,amenity,pharmacy,7.977835585607907
0,O1_Conjunto,19.287,-99.655,Grupo Médico Los Angeles,19.2237978,-99.6643947,hospital,healthcare,hospital,7.096623419737553
0,O1_Conjunto,19.287,-99.655,Bodega Del Museo De Historia Universitario José María Morelos y Pavón,19.2863794,-99.6543267,school,amenity,school,0.09877095242934734
0,O1_Conjunto,19.287,-99.655,Academia De Belleza Reflejos,19.2880306,-99.6548665,school,amenity,school,0.11545086738205243
0,O1_Conjunto,19.287,-99.655,Escuela Secundaria Oficial No 0970 Gral Jose Vicente Villada,19.2852638,-99.6541272,school,amenity,school,0.21368727547212643
0,O1_Conjunto,19.287,-99.655,Escuela De Gobierno Y Administracion Publica Mexiquense,19.2849752,-99.6557288,school,amenity,school,0.23778620664462735
0,O1_Conjunto,19.287,-99.655,Centro De Estudios Tecnologicos Del Estado De Mexico,19.2893398,-99.6550141,school,amenity,school,0.26017809793313257
0,O1_Conjunto,19.287,-99.655,Escuela de Estilismo Oscar De Leon,19.2893423,-99.6549741,school,amenity,school,0.26046606149751317
0,O1_Conjunto,19.287,-99.655,Grupo Isima,19.2865062,-99.6576689,school,amenity,school,0.2854435706159838
0,O1_Conjunto,19.287,-99.655,Centro de idiomas y Computación,19.2896107,-99.6550302,school,amenity,school,0.29031389800826646
0,O1_Conjunto,19.287,-99.655,Centro de Actividades Culturales Uaem,19.2863414,-99.6520152,school,amenity,school,0.32171398487447284
0,O1_Conjunto,19.287,-99.655,"Instituto Superior de Estudios Prospectivos ""ISEP""",19.2839244,-99.6557963,school,amenity,school,0.3520551693106251
0,O1_Conjunto,19.287,-99.655,Escuela Secundaria General Nocturna Tierra y Libertad,19.2893069,-99.6526949,school,amenity,school,0.3526039145602249
0,O1_Conjunto,19.287,-99.655,Escuela Secundaria Tecnica No 2 Tierra Y Libertad,19.2893501,-99.6526907,school,amenity,school,0.3564133379176591
0,O1_Conjunto,19.287,-99.655,Instituto Brima,19.2893398,-99.6577375,school,amenity,school,0.3876048890540673
0,O1_Conjunto,19.287,-99.655,Instituto Universitario Johann Friedrich Herbart,19.2859347,-99.6585663,school,amenity,school,0.39259632726733606
0,O1_Conjunto,19.287,-99.655,Escuelas Profesionales de Computación Epc,19.2905198,-99.655626,school,amenity,school,0.39686009164720215
0,O1_Conjunto,19.287,-99.655,Unidad de Apoyo a la educación Básica y Normal,19.2880744,-99.6513744,school,amenity,school,0.3988340531026699
0,O1_Conjunto,19.287,-99.655,Colegio Panamericano Estudios Tecnicos,19.2904113,-99.6533852,school,amenity,school,0.41545876992617514
0,O1_Conjunto,19.287,-99.655,Escuela Montessori,19.2833549,-99.6561402,school,amenity,school,0.42261389865220755
0,O1_Conjunto,19.287,-99.655,Escuela Primaria Mariana R De Lazarin Turno Vespertino 15epr4762e,19.2862906,-99.6510115,school,amenity,school,0.4259780640124352
0,O1_Conjunto,19.287,-99.655,Instituto de Computo e Inglés,19.2903529,-99.6569859,school,amenity,school,0.427130437884612
0,O1_Conjunto,19.287,-99.655,Escuela Primaria Mariana R De Lazarin Turno Matutino 15epr00620f,19.2862866,-99.6509526,school,amenity,school,0.4321359141046905
0,O1_Conjunto,19.287,-99.655,Centro De Educacion Para La Atencion De Jovenes Y Adultos Margarita Maza De Juarez,19.2862874,-99.6509023,school,amenity,school,0.4373103584957373
0,O1_Conjunto,19.287,-99.655,"Subdirección de educación para la atención de jovenes y adultos actividad de cocina, reposteria y decorado Mariana Rodriguez R. de Lazarin",19.2863567,-99.6508531,school,amenity,school,0.44107449408207755
0,O1_Conjunto,19.287,-99.655,Centro de Estudios para la Calidad Educativa y la Investigación Científica,19.2889085,-99.6586861,school,amenity,school,0.4412520979770942
0,O1_Conjunto,19.287,-99.655,Dirección de Aprendizaje de Lenguas,19.2840286,-99.6520948,school,amenity,school,0.44960072985629723
0,O1_Conjunto,19.287,-99.655,Colegio Integral De Bachillerato E Informática,19.2880953,-99.6508597,school,amenity,school,0.45128557397463664
0,O1_Conjunto,19.287,-99.655,Escuela Secundaria 585 Licenciado Juan Fernandez Albarran,19.2879268,-99.6593061,school,amenity,school,0.4635429352170609
0,O1_Conjunto,19.287,-99.655,Vigotsky´s Kids,19.2833672,-99.6526356,school,amenity,school,0.4740847854600488
0,O1_Conjunto,19.287,-99.655,Escuela de Enfermería y Salud  Iepetac  Toluca,19.2913601,-99.6556268,school,amenity,school,0.4892637246853733
0,O1_Conjunto,19.287,-99.655,Instituto De Desarrollo Infantil Isima,19.2863555,-99.6503091,school,amenity,school,0.4975192442973793
0,O1_Conjunto,19.287,-99.655,"CEAJA ""QFB Yolanda Senties de Ballesteros"" Turno Vespertino",19.2825927,-99.6534165,school,amenity,school,0.5174838524313765
0,O1_Conjunto,19.287,-99.655,Unidad de Apoyo a la Educación Básica y Normal,19.2875788,-99.6500988,school,amenity,school,0.5184112488207723
0,O1_Conjunto,19.287,-99.655,Academia De Estilistas Profesionales Lupita,19.2903679,-99.6586001,school,amenity,school,0.5319865701090387
0,O1_Conjunto,19.287,-99.655,Templo Shaolin De Mexico Suc Toluca,19.2855199,-99.6501515,school,amenity,school,0.5348251857273273
0,O1_Conjunto,19.287,-99.655,Instituto Al Servicio Educativo Superior,19.2830626,-99.6584254,school,amenity,school,0.5665121870943759
0,O1_Conjunto,19.287,-99.655,Dirección de Identidad Universitaria,19.2922061,-99.6552996,school,amenity,school,0.5797452476238533
0,O1_Conjunto,19.287,-99.655,Colegio Vilaseca De Toluca,19.2874639,-99.6605645,school,amenity,school,0.5862905182893118
0,O1_Conjunto,19.287,-99.655,Escuela Secundaria Oficial No. 549 Gral. Lázaro Cárdenas Vespertino,19.2904806,-99.6507871,school,amenity,school,0.5876147785706757
0,O1_Conjunto,19.287,-99.655,Liceo Pedro De Gante,19.2868639,-99.6492,school,amenity,school,0.6089227794550338
0,O1_Conjunto,19.287,-99.655,Escuela Secundaria Federalizada Ignacio Ramírez 15des0012x,19.281488,-99.6540129,school,amenity,school,0.6216009034750021
0,O1_Conjunto,19.287,-99.655,Instituto Kambes,19.2881135,-99.6491016,school,amenity,school,0.6313203317069768
0,O1_Conjunto,19.287,-99.655,"Instituto Tecnico, Administrativo y Humanistico de Toluca",19.291636,-99.658528,school,amenity,school,0.6346984949187993
0,O1_Conjunto,19.287,-99.655,Instituto Cultural Nicolás Guillen,19.2876993,-99.6488848,school,amenity,school,0.64650787208546
0,O1_Conjunto,19.287,-99.655,Centro de Estudios Superiores Olimpo,19.2875839,-99.6487496,school,amenity,school,0.6592098109680902
0,O1_Conjunto,19.287,-99.655,Instituto Nacional Para La Educacion De Adultos,19.2907876,-99.6600129,school,amenity,school,0.6739276200732464
0,O1_Conjunto,19.287,-99.655,Colegio de bachilleres COBAEM,19.289965,-99.6607033,school,amenity,school,0.6833706152270529
0,O1_Conjunto,19.287,-99.655,Centro De Educacion Basica Para Adultos Heroes Del 47,19.2808836,-99.6539686,school,amenity,school,0.6886738469308515
0,O1_Conjunto,19.287,-99.655,Alianza Francesa de Toluca,19.2916512,-99.6593783,school,amenity,school,0.6918373467372892
0,O1_Conjunto,19.287,-99.655,Centro Escolar Justo Sierra Mendez,19.2883196,-99.6614631,school,amenity,school,0.6940157268222749
0,O1_Conjunto,19.287,-99.655,Urawa Karate Do,19.2808077,-99.656199,school,amenity,school,0.6999576136548299
0,O1_Conjunto,19.287,-99.655,Didactik School,19.2811445,-99.6522204,school,amenity,school,0.7134728715013755
0,O1_Conjunto,19.287,-99.655,Instituto Universitario Brima,19.2923031,-99.6505997,school,amenity,school,0.7489993257604639
0,O1_Conjunto,19.287,-99.655,Red de Inovación Y Aprendizaje,19.293441,-99.6528775,school,amenity,school,0.7500494767088027
0,O1_Conjunto,19.287,-99.655,Colegio De Entelechia,19.2883769,-99.6478203,school,amenity,school,0.7689332415548978
0,O1_Conjunto,19.287,-99.655,Universidad Terranova,19.2800631,-99.6563188,school,amenity,school,0.7836689426574343
0,O1_Conjunto,19.287,-99.655,Instituto Superior Concordia,19.2925441,-99.6503572,school,amenity,school,0.7857973956793647
0,O1_Conjunto,19.287,-99.655,Instituto Al Servicio Educativo Superior,19.2936005,-99.657838,school,amenity,school,0.7920783186295254
0,O1_Conjunto,19.287,-99.655,Defensoría de los Derechos  de la UAEM,19.2803784,-99.6578307,school,amenity,school,0.793970307653478
0,O1_Conjunto,19.287,-99.655,Colegio Mexiquense,19.2919113,-99.660647,school,amenity,school,0.8059111342919381
0,O1_Conjunto,19.287,-99.655,school (OSM),19.2813925,-99.6601625,school,amenity,school,0.8260567285517848
0,O1_Conjunto,19.287,-99.655,Instituto Pedagogico y de Estudio Superior Toluca,19.2793621,-99.6554784,school,amenity,school,0.8507787072284659
0,O1_Conjunto,19.287,-99.655,Extension de la Escuela Primaria Eudoxia Calderón,19.2909398,-99.6480212,school,amenity,school,0.8534610577970946
0,O1_Conjunto,19.287,-99.655,Escuela Primaria María Remedios Colón,19.2924486,-99.6609212,school,amenity,school,0.8679030126585234
0,O1_Conjunto,19.287,-99.655,Escuela Tecnica del DIFEM,19.2945423,-99.6577173,school,amenity,school,0.8858276303738327
0,O1_Conjunto,19.287,-99.655,Centro de Educación Para La Atencion de Jóvenes y Adultos Lic Ma Eugenia San Martin de Camacho,19.2946827,-99.6578183,school,amenity,school,0.9040346870516079
0,O1_Conjunto,19.287,-99.655,Secundaria Oficial 7 Estado De México,19.2864457,-99.6463292,school,amenity,school,0.912123375071942
0,O1_Conjunto,19.287,-99.655,Licenciado Adolfo Lopez Mateos Escuela Preparatoria 1,19.2792618,-99.6579856,school,amenity,school,0.9157321870136305
0,O1_Conjunto,19.287,-99.655,Eurek Club De Tareas,19.2826091,-99.6627038,school,amenity,school,0.944536164667541
0,O1_Conjunto,19.287,-99.655,Centro de Estudios e Investigación en Desarrollo Sustentable Cedes Uaemex,19.2785202,-99.6561746,school,amenity,school,0.9509359676334005
0,O1_Conjunto,19.287,-99.655,Planet English,19.2792396,-99.6589392,school,amenity,school,0.956850596397774
0,O1_Conjunto,19.287,-99.655,Esc. Sec.Of. No.0007 Estado de México,19.2859018,-99.6459022,school,amenity,school,0.9626324320484232
0,O1_Conjunto,19.287,-99.655,Escuela Primaria Adolfo Ruiz Cortines Turno Vespertino,19.2956207,-99.6559297,school,amenity,school,0.9635312879727839
0,O1_Conjunto,19.287,-99.655,Centro De Maestros Adolfo Ruiz Cortines Toluca 1,19.2956384,-99.6557607,school,amenity,school,0.9638583835886112
0,O1_Conjunto,19.287,-99.655,Centro De Atencion Para Jovenes Y Adultos Licenciado Adolfo Ruiz Cortines,19.2956359,-99.6558304,school,amenity,school,0.964214996756811
0,O1_Conjunto,19.287,-99.655,Escuela Primaria Adolfo Ruiz Cortines,19.2956536,-99.6558948,school,amenity,school,0.9668082093423447
0,O1_Conjunto,19.287,-99.655,Escuela De Manejo,19.2908821,-99.6467224,school,amenity,school,0.9700930431917393
0,O1_Conjunto,19.287,-99.655,Talk Ingles y Punto,19.292033,-99.6473672,school,amenity,school,0.9772073388397692
0,O1_Conjunto,19.287,-99.655,Escuela Telesecundaria No. 0325 Cuauhtémoc,19.2953249,-99.6517589,school,amenity,school,0.9862066401256118
0,O1_Conjunto,19.287,-99.655,Club Acuático,19.2802055,-99.6611495,school,amenity,school,0.9936701224211932
0,O1_Conjunto,19.287,-99.655,Yoga Solar,19.2907297,-99.6637268,school,amenity,school,1.0054232419108016
0,O1_Conjunto,19.287,-99.655,Escuela Judicial del Estado de Méxic,19.2929833,-99.6472213,school,amenity,school,1.0531559468116702
0,O1_Conjunto,19.287,-99.655,Centro Cultural Y Educativo Liseo De Las Artes,19.2909996,-99.6458872,school,amenity,school,1.054760265638904
0,O1_Conjunto,19.287,-99.655,Instituto Universitario Autonomo De Ciencias,19.2935271,-99.6477006,school,amenity,school,1.055294876562862
0,O1_Conjunto,19.287,-99.655,Escuela Secundaria No 971,19.2922316,-99.6464762,school,amenity,school,1.0671016536264006
0,O1_Conjunto,19.287,-99.655,Unidad Deportiva De La Primaria Eudoxia Calderon,19.2909868,-99.6456935,school,amenity,school,1.0726393986869964
0,O1_Conjunto,19.287,-99.655,Paideia Colón,19.2782448,-99.6596426,school,amenity,school,1.0886705306854787
0,O1_Conjunto,19.287,-99.655,D4 Reality,19.2865932,-99.6653836,school,amenity,school,1.0907422789529648
0,O1_Conjunto,19.287,-99.655,"Escuela Primaria Profra Eudoxia Calderon Gomez, Anexa A La Normal De Profesores Turno Matutino",19.2909612,-99.6454583,school,amenity,school,1.0940158913099896
